combination,quantity,population,recordings_per_model,models,mean_sensitivity,min_sensitivity,max_sensitivity,M_secondary_diagnostic
D+P+F+H,200,all_eligible,276,5,0.7543478260869565,0.7318840579710145,0.8043478260869565,False
D+P+F+H,200,development,223,5,0.7713004484304933,0.757847533632287,0.820627802690583,False
D+P+F+H,200,locked_test,53,5,0.6830188679245283,0.6226415094339622,0.7358490566037735,False
D+P+F+H,25,all_eligible,276,5,0.6260869565217391,0.34782608695652173,0.7681159420289855,False
D+P+F+H,25,development,223,5,0.6260089686098654,0.3542600896860987,0.7757847533632287,False
D+P+F+H,25,locked_test,53,5,0.6264150943396226,0.32075471698113206,0.7547169811320755,False
D+P+F+H,50,all_eligible,276,5,0.5702898550724638,0.37318840579710144,0.7028985507246377,False
D+P+F+H,50,development,223,5,0.5910313901345292,0.40358744394618834,0.7219730941704036,False
D+P+F+H,50,locked_test,53,5,0.4830188679245283,0.24528301886792453,0.6226415094339622,False
D+P+F+H,all,all_eligible,276,5,0.6905797101449275,0.6521739130434783,0.7137681159420289,False
D+P+F+H,all,development,223,5,0.7031390134529149,0.6681614349775785,0.726457399103139,False
D+P+F+H,all,locked_test,53,5,0.6377358490566037,0.5849056603773585,0.6792452830188679,False
D+P+F+H+M,100,all_eligible,276,5,0.6289855072463768,0.572463768115942,0.717391304347826,True
D+P+F+H+M,100,development,223,5,0.642152466367713,0.5919282511210763,0.7130044843049327,True
D+P+F+H+M,100,locked_test,53,5,0.5735849056603773,0.49056603773584906,0.7358490566037735,True
D+P+F+H+M,200,all_eligible,276,5,0.7166666666666667,0.6811594202898551,0.7608695652173914,True
D+P+F+H+M,200,development,223,5,0.7309417040358744,0.6995515695067265,0.7623318385650224,True
D+P+F+H+M,200,locked_test,53,5,0.6566037735849056,0.6037735849056604,0.7547169811320755,True
D+P+F+H+M,25,all_eligible,276,5,0.5565217391304348,0.3442028985507246,0.6521739130434783,True
D+P+F+H+M,25,development,223,5,0.5524663677130045,0.36771300448430494,0.6591928251121076,True
D+P+F+H+M,25,locked_test,53,5,0.5735849056603773,0.24528301886792453,0.7358490566037735,True
D+P+F+H+M,50,all_eligible,276,5,0.513768115942029,0.36231884057971014,0.6304347826086957,True
D+P+F+H+M,50,development,223,5,0.5255605381165919,0.39461883408071746,0.6457399103139013,True
D+P+F+H+M,50,locked_test,53,5,0.4641509433962264,0.22641509433962265,0.6226415094339622,True
D+P+F+H+M,all,all_eligible,276,5,0.6688405797101449,0.6376811594202898,0.6847826086956522,True
D+P+F+H+M,all,development,223,5,0.6852017937219731,0.6636771300448431,0.6995515695067265,True
D+P+F+H+M,all,locked_test,53,5,0.6,0.5283018867924528,0.6226415094339622,True
D+P+F+M,100,all_eligible,276,5,0.5673913043478261,0.4927536231884058,0.6594202898550725,True
D+P+F+M,100,development,223,5,0.5748878923766816,0.5067264573991032,0.6636771300448431,True
D+P+F+M,100,locked_test,53,5,0.5358490566037736,0.4339622641509434,0.660377358490566,True
D+P+F+M,200,all_eligible,276,5,0.6855072463768116,0.6413043478260869,0.7318840579710145,True
D+P+F+M,200,development,223,5,0.6968609865470852,0.6591928251121076,0.7443946188340808,True
D+P+F+M,200,locked_test,53,5,0.6377358490566037,0.5283018867924528,0.6981132075471698,True
D+P+F+M,25,all_eligible,276,5,0.6601449275362319,0.4855072463768116,0.7391304347826086,True
D+P+F+M,25,development,223,5,0.661883408071749,0.48878923766816146,0.7443946188340808,True
D+P+F+M,25,locked_test,53,5,0.6528301886792452,0.4716981132075472,0.7169811320754716,True
D+P+F+M,50,all_eligible,276,5,0.5297101449275362,0.39855072463768115,0.6594202898550725,True
D+P+F+M,50,development,223,5,0.5336322869955157,0.4080717488789238,0.6547085201793722,True
D+P+F+M,50,locked_test,53,5,0.5132075471698113,0.3584905660377358,0.6792452830188679,True
D+P+F+M,all,all_eligible,276,5,0.6413043478260869,0.605072463768116,0.677536231884058,True
D+P+F+M,all,development,223,5,0.6493273542600897,0.6188340807174888,0.6816143497757847,True
D+P+F+M,all,locked_test,53,5,0.6075471698113207,0.5471698113207547,0.660377358490566,True
D+P+H,100,all_eligible,276,5,0.486231884057971,0.4311594202898551,0.5471014492753623,False
D+P+H,100,development,223,5,0.49327354260089684,0.4439461883408072,0.5560538116591929,False
D+P+H,100,locked_test,53,5,0.45660377358490567,0.37735849056603776,0.5094339622641509,False
D+P+H,200,all_eligible,276,5,0.45,0.42028985507246375,0.5072463768115942,False
D+P+H,200,development,223,5,0.45560538116591925,0.4260089686098655,0.5112107623318386,False
D+P+H,200,locked_test,53,5,0.42641509433962266,0.37735849056603776,0.49056603773584906,False
D+P+H,25,all_eligible,276,5,0.3978260869565217,0.2572463768115942,0.5181159420289855,False
D+P+H,25,development,223,5,0.3919282511210762,0.25112107623318386,0.5201793721973094,False
D+P+H,25,locked_test,53,5,0.4226415094339623,0.2830188679245283,0.5471698113207547,False
D+P+H,50,all_eligible,276,5,0.4398550724637681,0.34057971014492755,0.5,False
D+P+H,50,development,223,5,0.43497757847533636,0.33183856502242154,0.5112107623318386,False
D+P+H,50,locked_test,53,5,0.46037735849056605,0.37735849056603776,0.5283018867924528,False
D+P+H,all,all_eligible,276,5,0.3884057971014493,0.36231884057971014,0.41304347826086957,False
D+P+H,all,development,223,5,0.3919282511210762,0.36771300448430494,0.4170403587443946,False
D+P+H,all,locked_test,53,5,0.3735849056603774,0.33962264150943394,0.41509433962264153,False
D+P+H+M,100,all_eligible,276,5,0.4681159420289855,0.427536231884058,0.4927536231884058,True
D+P+H+M,100,development,223,5,0.47713004484304933,0.4349775784753363,0.5067264573991032,True
D+P+H+M,100,locked_test,53,5,0.43018867924528303,0.39622641509433965,0.4528301886792453,True
D+P+H+M,200,all_eligible,276,5,0.44782608695652176,0.43478260869565216,0.4782608695652174,True
D+P+H+M,200,development,223,5,0.45022421524663675,0.4349775784753363,0.484304932735426,True
D+P+H+M,200,locked_test,53,5,0.4377358490566038,0.41509433962264153,0.4528301886792453,True
D+P+H+M,25,all_eligible,276,5,0.3608695652173913,0.2246376811594203,0.4855072463768116,True
D+P+H+M,25,development,223,5,0.3596412556053812,0.22869955156950672,0.48878923766816146,True
D+P+H+M,25,locked_test,53,5,0.36603773584905663,0.20754716981132076,0.5283018867924528,True
D+P+H+M,50,all_eligible,276,5,0.4210144927536232,0.3188405797101449,0.5217391304347826,True
D+P+H+M,50,development,223,5,0.4242152466367713,0.336322869955157,0.5067264573991032,True
D+P+H+M,50,locked_test,53,5,0.4075471698113208,0.24528301886792453,0.5849056603773585,True
D+P+H+M,all,all_eligible,276,5,0.39855072463768115,0.391304347826087,0.4166666666666667,True
D+P+H+M,all,development,223,5,0.39820627802690584,0.3901345291479821,0.4170403587443946,True
