fold_type,combination,quantity,feature_mode,macro_equal_group_equal_source_BA,macro_ai_recall,macro_human_recall,macro_recording_weighted_within_experiment_BA,descriptive_mean_single_model_fold_auc,available_held_source_experiments,intended_held_source_experiments,eligible_model_count,omitted_model_count,status
human_source_holdout,BC,100,values_plus_missing,0.459635928922496,0.49348959565719647,0.4257822621877956,0.46580259030211774,0.4561901646420493,6,6,28,2,available
human_source_holdout,BC,200,values_plus_missing,0.45945176313705494,0.5521260761371668,0.36677745013694313,0.46784875269934584,0.46886416636009154,6,6,28,2,available
human_source_holdout,BC,all,values_plus_missing,0.4595835825262106,0.5578723501541311,0.3612948148982902,0.4703167009358158,0.4690002118350252,6,6,28,2,available
human_source_holdout,S+D,25,values_plus_missing,0.6080833993956744,0.6734301953061932,0.5427366034851554,0.5992249477823943,0.666383037672866,6,6,28,2,available
human_source_holdout,S+D,50,values_plus_missing,0.6208356507923637,0.6709581417598905,0.5707131598248366,0.6121315542207236,0.6758168140068588,6,6,28,2,available
human_source_holdout,S+D,100,values_plus_missing,0.6169984593017366,0.673935102139874,0.5600618164635992,0.6102093497297214,0.6775567330252235,6,6,28,2,available
human_source_holdout,S+D,200,values_plus_missing,0.6206360315049131,0.680317963484951,0.5609540995248753,0.6123803483309217,0.6799517400351824,6,6,28,2,available
human_source_holdout,S+D,all,values_plus_missing,0.6195663998716581,0.6793610019961706,0.5597717977471455,0.6095853277747555,0.6799378845483698,6,6,28,2,available
human_source_holdout,S+R,25,values_plus_missing,0.6242192751210351,0.7102595218429283,0.5381790283991419,0.6199581586824593,0.6907943474910402,6,6,28,2,available
human_source_holdout,S+R,50,values_plus_missing,0.633230681828164,0.7027170381788688,0.5637443254774595,0.6260916527368545,0.698088021375823,6,6,28,2,available
human_source_holdout,S+R,100,values_plus_missing,0.6330257431984999,0.7140110555955544,0.5520404308014454,0.6292843246378249,0.7075510735764224,6,6,28,2,available
human_source_holdout,S+R,200,values_plus_missing,0.6382884052740709,0.7139173246351547,0.5626594859129873,0.635800781591194,0.7124015905203688,6,6,28,2,available
human_source_holdout,S+R,all,values_plus_missing,0.635284900866896,0.7141395237367028,0.5564302779970894,0.6294886874664315,0.7135135197940211,6,6,28,2,available
human_source_holdout,S+P,25,values_plus_missing,0.5901212898331792,0.6617273326200379,0.5185152470463205,0.5830880287484774,0.636374499658611,6,6,28,2,available
human_source_holdout,S+P,50,values_plus_missing,0.6051823898240057,0.6560928102932787,0.554271969354733,0.5976592225706283,0.6545718620412283,6,6,28,2,available
human_source_holdout,S+P,100,values_plus_missing,0.6090494183760057,0.6683353767018162,0.5497634600501952,0.6022202554294714,0.6641835229793074,6,6,28,2,available
human_source_holdout,S+P,200,values_plus_missing,0.6145459272716719,0.6777213325800644,0.5513705219632794,0.6053356820205336,0.6665450189307309,6,6,28,2,available
human_source_holdout,S+P,all,values_plus_missing,0.6116357410376626,0.67734214106074,0.5459293410145852,0.6024868968786815,0.6665742056789357,6,6,28,2,available
human_source_holdout,S+F,25,values_plus_missing,0.6526456522793372,0.7205516860952986,0.5847396184633757,0.6382528344227868,0.701882615665905,6,6,28,2,available
human_source_holdout,S+F,50,values_plus_missing,0.6513772379618529,0.7167817483333785,0.5859727275903271,0.6449445293155011,0.7034858447167073,6,6,28,2,available
human_source_holdout,S+F,100,values_plus_missing,0.6457202848935827,0.7234871904995507,0.5679533792876147,0.635087533014352,0.7032929838683513,6,6,28,2,available
human_source_holdout,S+F,200,values_plus_missing,0.6464172033537722,0.7263562243556262,0.5664781823519183,0.6305698116671551,0.7058385523763009,6,6,28,2,available
