fold_type,combination,quantity,feature_mode,macro_equal_group_equal_source_BA,macro_ai_recall,macro_human_recall,macro_recording_weighted_within_experiment_BA,descriptive_mean_single_model_fold_auc,available_held_source_experiments,intended_held_source_experiments,eligible_model_count,omitted_model_count,status
human_source_holdout,R+P,50,values_plus_missing,0.6265281512891566,0.7300464288927998,0.5230098736855134,0.6260619531204134,0.668452321808828,6,6,28,2,available
human_source_holdout,R+P,100,values_plus_missing,0.6269739140529322,0.7400796727089028,0.5138681553969618,0.6275556794032463,0.671851282028477,6,6,28,2,available
human_source_holdout,R+P,200,values_plus_missing,0.6242472551613104,0.7280877554209578,0.520406754901663,0.6258361770644202,0.674945805873279,6,6,28,2,available
human_source_holdout,R+P,all,values_plus_missing,0.6230655367705591,0.7233236909684244,0.5228073825726938,0.6232414353771016,0.6752390980913108,6,6,28,2,available
human_source_holdout,R+F,25,values_plus_missing,0.6602934385801992,0.6845330620843525,0.6360538150760461,0.6365385985204794,0.7012714984555642,6,6,28,2,available
human_source_holdout,R+F,50,values_plus_missing,0.6563469824178727,0.6954225136589507,0.6172714511767946,0.638603695290772,0.6997563169196287,6,6,28,2,available
human_source_holdout,R+F,100,values_plus_missing,0.6545979562193616,0.7062706991438213,0.6029252132949018,0.634467024775098,0.7032576859812375,6,6,28,2,available
human_source_holdout,R+F,200,values_plus_missing,0.6587193673359261,0.701438538841563,0.6160001958302889,0.6408165352609877,0.7063025353162634,6,6,28,2,available
human_source_holdout,R+F,all,values_plus_missing,0.6608643550342923,0.7021661900619209,0.6195625200066638,0.6429928033347933,0.7090180631315505,6,6,28,2,available
human_source_holdout,R+H,25,values_plus_missing,0.6553851809104502,0.722944095870115,0.5878262659507852,0.65424159961248,0.7065563119431442,6,6,28,2,available
human_source_holdout,R+H,50,values_plus_missing,0.6581331882297969,0.7315813326713595,0.5846850437882342,0.6500912034488379,0.7011903443766975,6,6,28,2,available
human_source_holdout,R+H,100,values_plus_missing,0.6641772785146824,0.7372822116596259,0.591072345369739,0.6566586585517696,0.7121731263976826,6,6,28,2,available
human_source_holdout,R+H,200,values_plus_missing,0.657738609320118,0.7166115273213682,0.5988656913188676,0.6546662875644281,0.7109662944334765,6,6,28,2,available
human_source_holdout,R+H,all,values_plus_missing,0.6574871274571871,0.7160608159436427,0.5989134389707313,0.6505861920563635,0.7115966285505019,6,6,28,2,available
human_source_holdout,R+SC,25,values_plus_missing,0.6368363066047485,0.7725054135630328,0.5011671996464643,0.6280013721069208,0.6829263516930318,6,6,28,2,available
human_source_holdout,R+SC,50,values_plus_missing,0.6379169161178849,0.7698725294779756,0.5059613027577942,0.6340056860531945,0.6872710337347689,6,6,28,2,available
human_source_holdout,R+SC,100,values_plus_missing,0.6338722194988884,0.7598342856581737,0.5079101533396031,0.6315373589574753,0.6952044908257229,6,6,28,2,available
human_source_holdout,R+SC,200,values_plus_missing,0.6231634502709158,0.7500400132681665,0.49628688727366504,0.6284598253944353,0.6959245325222531,6,6,28,2,available
human_source_holdout,R+SC,all,values_plus_missing,0.6255996601521436,0.7523395972615181,0.49885972304276915,0.6306818237804753,0.6976334197834636,6,6,28,2,available
human_source_holdout,R+BC,25,values_plus_missing,0.6064996415115956,0.7664781609781764,0.44652112204501465,0.611824825268514,0.6538987607474599,6,6,28,2,available
human_source_holdout,R+BC,50,values_plus_missing,0.6093306985825903,0.7577731343916448,0.4608882627735355,0.6179302791934825,0.6536269929198611,6,6,28,2,available
human_source_holdout,R+BC,100,values_plus_missing,0.6189563053477537,0.7537873617759271,0.4841252489195802,0.6181184828962182,0.6600233565625067,6,6,28,2,available
human_source_holdout,R+BC,200,values_plus_missing,0.6234774214067151,0.7426927258190813,0.5042621169943489,0.6211756400011844,0.6605998165919097,6,6,28,2,available
